"age","education_num","capital_gain","capital_loss","hours_per_week","native_country","income","married","male","race_white","race_asian_pac_islander","race_amer_indian_eskimo","race_black","race_other"
36,9,0,0,40," United-States",0,1,1,1,0,0,0,0
28,10,0,0,40," United-States",0,1,0,1,0,0,0,0
53,9,0,0,40," United-States",1,1,0,1,0,0,0,0
49,10,0,0,50," United-States",1,1,1,1,0,0,0,0
19,10,0,0,32," United-States",0,0,1,1,0,0,0,0
31,13,0,0,40," United-States",0,1,0,0,0,0,1,0
29,13,0,0,70," United-States",1,1,1,1,0,0,0,0
23,10,0,0,40," United-States",0,0,1,1,0,0,0,0
79,10,0,0,20," United-States",0,1,1,1,0,0,0,0
27,9,0,0,40," Mexico",0,0,1,1,0,0,0,0
40,12,0,0,40," United-States",0,1,1,1,0,0,0,0
18,7,0,0,22," United-States",0,0,0,1,0,0,0,0
31,4,0,0,40," United-States",0,1,1,1,0,0,0,0
18,9,0,0,30," United-States",0,0,1,1,0,0,0,0
52,13,0,0,40," Cuba",0,1,1,1,0,0,0,0
46,9,0,0,40," United-States",0,1,0,1,0,0,0,0
59,9,0,0,48," United-States",0,1,1,1,0,0,0,0
44,9,14344,0,40," United-States",1,1,0,1,0,0,0,0
53,9,0,0,35," United-States",0,1,0,1,0,0,0,0
49,9,0,0,40," United-States",1,1,1,1,0,0,0,0
33,14,0,0,50," United-States",0,1,1,1,0,0,0,0
30,5,0,0,40," United-States",0,0,1,1,0,0,0,0
43,16,0,0,50," United-States",1,0,0,1,0,0,0,0
57,11,0,0,40," United-States",0,1,1,1,0,0,0,0
37,10,0,0,40," United-States",0,1,0,1,0,0,0,0
28,10,0,0,25," United-States",0,1,0,0,0,0,1,0
34,13,0,0,40," United-States",1,1,1,1,0,0,0,0
29,10,0,0,50," United-States",0,0,1,1,0,0,0,0
48,16,0,1902,60," United-States",1,1,1,1,0,0,0,0
37,10,0,0,48," United-States",1,1,1,1,0,0,0,0
48,12,0,0,40," England",0,1,0,1,0,0,0,0
32,9,0,0,40," United-States",0,0,1,0,0,0,1,0
76,14,0,0,40," United-States",1,1,1,1,0,0,0,0
44,13,15024,0,60," United-States",1,1,1,1,0,0,0,0
47,14,0,0,50," United-States",0,0,0,1,0,0,0,0
20,10,0,0,40," United-States",0,0,0,1,0,0,0,0
29,9,0,0,40," United-States",0,0,1,1,0,0,0,0
32,9,7688,0,40," United-States",1,1,1,1,0,0,0,0
30,7,0,0,40," United-States",0,0,1,1,0,0,0,0
31,9,0,0,40," United-States",0,0,0,1,0,0,0,0
42,9,0,0,40," United-States",0,1,1,1,0,0,0,0
24,13,0,0,40," United-States",0,0,1,1,0,0,0,0
38,15,0,0,40," United-States",1,1,1,1,0,0,0,0
56,9,0,1887,50," Canada",1,1,1,1,0,0,0,0
28,10,4064,0,25," United-States",0,1,0,1,0,0,0,0
36,9,0,0,40," United-States",0,0,0,1,0,0,0,0
53,5,0,0,50," United-States",0,1,1,1,0,0,0,0
56,10,0,0,50," United-States",0,1,1,1,0,0,0,0
49,11,0,0,40," United-States",1,1,1,0,0,0,1,0
55,10,0,0,56," United-States",0,1,1,1,0,0,0,0
22,9,0,0,41," United-States",0,0,1,1,0,0,0,0
21,10,0,0,40," United-States",0,0,0,1,0,0,0,0
40,13,0,0,60," United-States",0,1,1,1,0,0,0,0
30,13,0,0,40," Germany",0,0,1,0,0,0,1,0
29,13,0,0,50," United-States",1,1,1,1,0,0,0,0
19,10,0,0,35," United-States",0,0,1,0,0,0,1,0
47,13,0,0,40," United-States",1,1,0,1,0,0,0,0
20,10,0,1719,28," United-States",0,0,0,1,0,0,0,0
31,12,0,0,40," United-States",1,1,1,1,0,0,0,0
39,10,0,0,40," United-States",0,1,1,1,0,0,0,0
28,12,0,0,60," United-States",0,0,0,1,0,0,0,0
24,9,0,1762,40," United-States",0,0,0,1,0,0,0,0
38,9,4386,0,35," United-States",0,1,1,1,0,0,0,0
37,13,0,0,50," United-States",0,1,1,1,0,0,0,0
46,12,0,0,36," United-States",0,1,0,0,0,0,1,0
38,14,0,0,40," Iran",1,1,1,1,0,0,0,0
43,9,0,0,60," United-States",0,1,1,1,0,0,0,0
27,11,0,0,35," United-States",0,1,0,1,0,0,0,0
20,10,0,0,20," United-States",0,0,1,1,0,0,0,0
49,10,0,0,40," United-States",1,1,1,0,1,0,0,0
61,9,0,0,40," United-States",0,1,1,1,0,0,0,0
27,10,0,0,40," United-States",0,0,0,1,0,0,0,0
19,10,0,0,30," Mexico",0,0,1,1,0,0,0,0
45,11,0,1564,40," United-States",1,0,0,1,0,0,0,0
70,10,0,0,40," United-States",0,0,1,1,0,0,0,0
31,9,0,0,30," United-States",0,0,0,0,0,0,1,0
22,10,0,0,24," United-States",0,1,1,1,0,0,0,0
36,9,0,0,24," United-States",0,0,0,1,0,0,0,0
64,7,0,2179,40," United-States",0,1,1,1,0,0,0,0
47,10,0,0,38," Mexico",0,1,0,1,0,0,0,0
34,9,0,0,40," United-States",0,0,0,1,0,0,0,0
33,13,0,0,40," Philippines",0,0,0,0,1,0,0,0
21,9,0,0,35," United-States",0,0,1,1,0,0,0,0
48,9,0,0,46," United-States",0,1,1,1,0,0,0,0
23,13,0,0,40," United-States",0,0,1,1,0,0,0,0
71,10,0,1816,2," United-States",0,1,1,0,0,0,1,0
29,9,0,0,60," United-States",0,1,1,1,0,0,0,0
42,13,0,0,50," United-States",0,1,1,0,0,0,1,0
25,9,0,0,40," United-States",0,0,0,1,0,0,0,0
44,14,0,0,40," United-States",0,1,0,0,1,0,0,0
28,9,0,0,40," England",0,0,0,0,1,0,0,0
45,14,0,0,40," United-States",1,1,1,1,0,0,0,0
36,10,0,0,40," Mexico",0,1,0,1,0,0,0,0
39,12,0,0,42," United-States",0,0,1,1,0,0,0,0
46,14,0,0,40," United-States",0,0,1,1,0,0,0,0
18,7,0,0,16," United-States",0,0,1,1,0,0,0,0
66,11,0,0,20," United-States",0,0,0,1,0,0,0,0
27,9,0,1980,40," United-States",0,0,1,1,0,0,0,0
28,9,0,0,40," United-States",0,1,1,1,0,0,0,0
51,10,0,1977,40," United-States",1,1,1,1,0,0,0,0
27,13,0,0,50," United-States",0,0,1,1,0,0,0,0
28,13,0,0,40," United-States",1,1,1,1,0,0,0,0
27,9,0,0,25," United-States",0,1,0,1,0,0,0,0
21,9,0,0,40," United-States",0,0,1,0,0,0,1,0
34,9,0,0,40," United-States",0,0,1,0,0,0,1,0
18,9,0,0,12," United-States",0,0,1,1,0,0,0,0
33,13,0,0,65," United-States",0,1,1,1,0,0,0,0
44,10,0,0,38," United-States",1,1,1,0,0,0,1,0
43,10,0,0,40," United-States",0,1,0,1,0,0,0,0
30,10,0,0,45," United-States",0,0,1,0,0,0,1,0
40,4,0,0,40," Mexico",1,1,1,1,0,0,0,0
37,10,0,0,42," United-States",1,1,1,1,0,0,0,0
34,9,0,0,40," United-States",0,1,1,0,0,0,1,0
41,13,0,0,40," United-States",0,1,0,1,0,0,0,0
31,14,0,0,50," United-States",0,1,0,1,0,0,0,0
58,16,0,0,1," United-States",1,1,1,1,0,0,0,0
38,10,0,0,28," United-States",0,1,0,0,0,0,1,0
24,10,0,0,40," United-States",0,1,1,1,0,0,0,0
41,13,0,0,40," United-States",0,1,1,0,0,0,1,0
47,10,0,0,45," United-States",0,1,1,1,0,0,0,0
41,13,0,0,24," United-States",0,1,1,1,0,0,0,0
23,3,0,0,40," Mexico",0,1,1,1,0,0,0,0
36,10,0,0,40," United-States",0,1,1,1,0,0,0,0
40,14,14084,0,55," United-States",1,0,0,1,0,0,0,0
35,14,7298,0,40," United-States",1,1,1,1,0,0,0,0
24,9,0,0,40," United-States",0,0,1,1,0,0,0,0
26,14,0,1876,40," United-States",0,0,0,1,0,0,0,0
51,13,0,0,50," United-States",1,1,1,1,0,0,0,0
42,10,0,1340,40," United-States",0,0,0,1,0,0,0,0
37,9,0,0,35," United-States",0,1,0,1,0,0,0,0
18,7,0,0,40," United-States",0,0,0,1,0,0,0,0
36,13,7298,0,36," United-States",1,1,1,0,0,0,1,0
35,9,0,0,60," United-States",0,1,1,1,0,0,0,0
58,9,15024,0,35," United-States",1,1,0,1,0,0,0,0
17,7,0,0,12," United-States",0,0,0,1,0,0,0,0
44,9,0,0,40," United-States",0,1,1,0,0,0,1,0
37,9,0,0,40," United-States",1,1,1,1,0,0,0,0
35,10,0,0,40," United-States",0,0,0,0,0,1,0,0
60,9,0,0,40," United-States",0,1,1,0,1,0,0,0
54,4,0,0,40," United-States",1,1,1,1,0,0,0,0
37,13,0,0,60," United-States",1,0,1,0,0,0,1,0
50,12,0,0,40," United-States",0,1,0,1,0,0,0,0
38,13,0,0,50," Poland",0,1,1,1,0,0,0,0
45,13,0,0,55," United-States",0,1,1,1,0,0,0,0
25,6,0,0,40," United-States",0,0,1,1,0,0,0,0
31,10,0,0,40," United-States",0,1,1,1,0,0,0,0
90,9,0,2206,40," United-States",0,0,1,0,0,0,1,0
54,9,0,0,20," United-States",0,1,1,0,0,0,1,0
53,1,0,0,35," United-States",0,0,0,1,0,0,0,0
18,9,0,0,40," United-States",0,0,0,1,0,0,0,0
66,9,1409,0,50," United-States",0,1,1,1,0,0,0,0
75,11,0,0,20," Columbia",0,0,0,1,0,0,0,0
65,9,0,0,40," United-States",0,1,0,1,0,0,0,0
35,7,3674,0,40," United-States",0,1,1,0,0,0,1,0
41,9,0,0,38," United-States",0,1,0,0,0,0,1,0
25,10,0,0,42," United-States",0,0,1,1,0,0,0,0
33,10,0,0,40," United-States",0,1,0,0,0,0,0,1
28,15,0,0,55," United-States",1,0,1,1,0,0,0,0
59,9,0,0,40," United-States",0,1,1,1,0,0,0,0
40,10,0,0,38," United-States",0,0,0,1,0,0,0,0
41,13,0,0,50," Iran",1,1,1,1,0,0,0,0
38,14,0,0,70," United-States",1,1,1,1,0,0,0,0
23,9,0,0,40," United-States",0,0,1,1,0,0,0,0
40,13,0,0,40," United-States",1,1,1,1,0,0,0,0
41,9,0,0,20," United-States",0,1,0,1,0,0,0,0
24,12,0,0,50," United-States",0,1,1,1,0,0,0,0
38,10,0,1741,40," United-States",0,1,1,1,0,0,0,0
58,9,0,0,45," United-States",1,1,1,1,0,0,0,0
32,9,0,0,34," United-States",0,0,0,1,0,0,0,0
40,12,0,1977,60," United-States",1,1,1,1,0,0,0,0
41,15,0,0,40," United-States",1,1,0,1,0,0,0,0
42,13,0,0,40," United-States",0,1,0,0,0,0,1,0
59,6,0,0,30," United-States",0,0,0,0,0,0,1,0
19,10,0,0,40," United-States",0,0,1,1,0,0,0,0
58,10,0,0,20," United-States",0,0,1,1,0,0,0,0
42,9,0,0,40," Cambodia",1,1,1,0,1,0,0,0
20,9,0,0,40," United-States",0,0,0,1,0,0,0,0
32,9,0,0,30," United-States",0,1,0,1,0,0,0,0
45,11,0,0,45," United-States",0,0,0,1,0,0,0,0
50,4,0,0,40," United-States",0,1,1,1,0,0,0,0
36,13,0,0,40," United-States",0,1,0,1,0,0,0,0
45,9,0,0,60," United-States",0,1,1,1,0,0,0,0
17,7,0,0,12," United-States",0,0,1,1,0,0,0,0
59,10,4064,0,40," United-States",0,1,1,1,0,0,0,0
26,7,0,0,40," United-States",0,1,1,1,0,0,0,0
37,10,0,0,75," Thailand",1,1,1,0,1,0,0,0
64,9,0,0,40," United-States",1,1,1,1,0,0,0,0
33,13,0,0,45," United-States",0,0,0,1,0,0,0,0
33,9,0,0,40," United-States",1,1,0,1,0,0,0,0
61,9,0,0,40," United-States",1,1,1,1,0,0,0,0
17,5,1055,0,24," United-States",0,0,1,1,0,0,0,0
50,14,2407,0,98," United-States",0,1,1,1,0,0,0,0
27,14,0,0,35," United-States",0,0,1,1,0,0,0,0
30,9,0,0,40," United-States",0,1,0,1,0,0,0,0
43,9,0,0,40," United-States",0,1,1,0,0,0,1,0
44,10,7298,0,40," United-States",1,1,1,1,0,0,0,0
35,10,0,0,40," United-States",0,0,0,1,0,0,0,0
25,10,0,0,40," United-States",0,0,0,1,0,0,0,0
24,10,7298,0,48," United-States",1,1,0,1,0,0,0,0
22,13,0,0,15," Germany",0,0,0,1,0,0,0,0
42,10,5178,0,40," United-States",1,1,1,1,0,0,0,0
34,12,0,0,45," United-States",0,1,0,0,0,0,1,0
60,13,0,0,42," United-States",0,1,0,1,0,0,0,0
21,9,0,0,40," United-States",0,0,1,1,0,0,0,0
57,14,15024,0,40," United-States",1,1,1,1,0,0,0,0
41,15,0,0,60," United-States",1,1,1,1,0,0,0,0
50,10,0,0,45," United-States",0,1,1,1,0,0,0,0
25,13,0,0,40," United-States",0,0,0,1,0,0,0,0
50,4,0,0,40," Ecuador",0,1,1,1,0,0,0,0
36,13,0,0,45," United-States",0,1,1,1,0,0,0,0
31,9,0,0,40," United-States",0,1,0,1,0,0,0,0
29,13,0,0,56," United-States",0,0,1,1,0,0,0,0
21,10,0,0,45," United-States",0,0,1,1,0,0,0,0
27,13,0,0,40," United-States",0,0,0,0,0,0,1,0
65,9,0,0,16," United-States",0,1,1,1,0,0,0,0
37,13,0,0,60," United-States",0,1,0,1,0,0,0,0
24,9,0,0,40," United-States",0,0,1,1,0,0,0,0
38,9,0,0,80," United-States",0,1,1,1,0,0,0,0
48,13,7688,0,40," United-States",1,1,1,1,0,0,0,0
21,10,0,0,25," United-States",0,0,0,0,1,0,0,0
31,9,0,0,45," United-States",1,1,1,1,0,0,0,0
55,9,4386,0,40," United-States",1,1,1,1,0,0,0,0
24,10,0,0,40," Laos",0,1,0,0,1,0,0,0
43,9,0,0,40," United-States",0,1,0,1,0,0,0,0
26,12,0,0,45," United-States",0,0,1,1,0,0,0,0
46,12,0,0,33," United-States",0,0,0,1,0,0,0,0
35,12,0,0,40," United-States",1,1,1,1,0,0,0,0
41,10,0,0,54," United-States",1,1,1,1,0,0,0,0
26,13,0,0,40," United-States",0,0,1,1,0,0,0,0
34,14,7298,0,35," Taiwan",1,1,1,0,1,0,0,0
36,13,0,0,40," United-States",1,1,0,0,0,0,1,0
22,10,0,0,15," United-States",0,0,1,1,0,0,0,0
24,10,0,0,40," United-States",0,0,1,1,0,0,0,0
77,10,0,0,40," United-States",0,1,1,1,0,0,0,0
22,3,0,0,40," Mexico",0,1,0,1,0,0,0,0
29,10,0,0,40," United-States",0,0,0,1,0,0,0,0
62,9,0,0,24," United-States",0,0,0,1,0,0,0,0
39,9,0,0,40," United-States",0,1,1,1,0,0,0,0
43,10,0,1485,50," United-States",0,1,1,1,0,0,0,0
35,9,0,0,45," United-States",0,1,1,1,0,0,0,0
29,7,0,0,40," United-States",0,0,0,1,0,0,0,0
76,14,0,0,10," United-States",0,1,1,1,0,0,0,0
63,9,0,0,45," United-States",0,1,1,1,0,0,0,0
43,10,0,1887,50," United-States",1,1,0,1,0,0,0,0
58,9,0,0,40," United-States",0,1,1,1,0,0,0,0
66,9,2050,0,55," United-States",0,0,1,1,0,0,0,0
41,10,0,0,45," United-States",0,0,1,0,0,0,1,0
26,13,0,0,40," United-States",0,0,1,1,0,0,0,0
47,11,0,0,40," United-States",0,0,1,1,0,0,0,0
55,6,0,0,40," United-States",0,1,1,1,0,0,0,0
53,9,0,0,40," United-States",0,1,1,1,0,0,0,0
17,3,0,0,48," Mexico",0,0,1,1,0,0,0,0
30,9,0,0,40," United-States",0,0,1,1,0,0,0,0
49,14,0,0,60," United-States",0,0,1,1,0,0,0,0
19,9,0,0,30," Haiti",0,0,1,0,0,0,1,0
45,9,0,0,40," United-States",0,1,1,0,0,0,1,0
26,12,0,0,40," United-States",0,0,1,1,0,0,0,0
38,11,7298,0,40," United-States",1,1,1,1,0,0,0,0
36,9,7298,0,40," United-States",1,1,1,1,0,0,0,0
33,9,0,0,20," United-States",0,0,1,1,0,0,0,0
22,10,0,0,40," United-States",0,0,0,0,0,0,1,0
43,13,0,0,42," United-States",0,0,1,1,0,0,0,0
56,12,0,0,25," Iran",0,1,1,1,0,0,0,0
31,13,0,0,25," United-States",0,0,1,1,0,0,0,0
33,13,0,0,40," United-States",1,1,1,1,0,0,0,0
26,9,0,0,40," United-States",0,1,1,1,0,0,0,0
33,13,0,0,40," United-States",1,1,1,1,0,0,0,0
46,7,0,0,30," United-States",0,1,1,1,0,0,0,0
38,9,0,0,40," United-States",1,1,1,1,0,0,0,0
65,7,0,0,40," United-States",0,0,1,0,0,0,0,1
40,11,0,0,40," United-States",1,1,1,1,0,0,0,0
42,9,0,0,35," United-States",0,1,0,1,0,0,0,0
26,5,0,0,40," Portugal",0,1,1,1,0,0,0,0
36,6,0,0,24," United-States",0,1,0,1,0,0,0,0
62,14,0,0,40," United-States",1,1,1,1,0,0,0,0
43,13,0,0,45," United-States",0,1,1,1,0,0,0,0
43,13,0,1564,45," United-States",1,1,1,1,0,0,0,0
22,9,0,0,55," United-States",0,1,1,1,0,0,0,0
28,9,0,0,40," United-States",0,1,1,1,0,0,0,0
56,10,0,0,45," United-States",0,1,1,1,0,0,0,0
22,12,0,0,15," United-States",0,0,0,1,0,0,0,0
57,13,0,0,45," United-States",1,1,0,1,0,0,0,0
39,9,0,0,40," United-States",0,1,0,1,0,0,0,0
26,10,0,0,15," United-States",0,0,0,1,0,0,0,0
17,7,0,0,10," United-States",0,0,1,1,0,0,0,0
40,11,0,0,38," United-States",1,1,1,1,0,0,0,0
45,9,0,0,40," United-States",0,1,1,0,0,0,1,0
44,9,0,0,40," United-States",0,0,1,0,0,0,1,0
20,10,0,0,10," United-States",0,0,0,1,0,0,0,0
33,9,0,0,40," United-States",0,1,0,1,0,0,0,0
23,10,0,0,40," United-States",0,0,1,1,0,0,0,0
46,14,0,0,30," United-States",0,1,1,1,0,0,0,0
38,9,0,0,50," United-States",0,1,1,1,0,0,0,0
54,9,0,0,40," United-States",0,1,1,1,0,0,0,0
46,3,0,2339,45," United-States",0,1,0,1,0,0,0,0
25,10,0,0,40," United-States",0,1,1,1,0,0,0,0
46,10,0,0,40," United-States",0,1,0,1,0,0,0,0
36,10,0,0,40," United-States",0,1,0,1,0,0,0,0
23,9,0,0,25," United-States",0,0,0,1,0,0,0,0
29,9,0,0,40," United-States",0,1,1,1,0,0,0,0
44,10,0,2415,6," United-States",1,1,0,1,0,0,0,0
19,10,0,0,16," United-States",0,0,0,1,0,0,0,0
19,9,0,0,40," United-States",0,0,0,1,0,0,0,0
35,9,0,0,40," United-States",1,1,0,1,0,0,0,0
27,13,0,0,50," United-States",0,0,1,1,0,0,0,0
46,12,0,0,40," United-States",0,1,1,1,0,0,0,0
34,9,0,0,35," United-States",0,0,0,1,0,0,0,0
44,10,0,0,40," United-States",0,1,1,1,0,0,0,0
45,10,0,0,40," United-States",0,1,0,1,0,0,0,0
25,13,0,0,55," United-States",1,1,1,1,0,0,0,0
52,13,0,0,50," United-States",1,1,1,1,0,0,0,0
20,10,0,0,40," United-States",0,0,1,1,0,0,0,0
28,10,0,0,40," United-States",0,0,0,1,0,0,0,0
50,13,0,0,40," United-States",1,1,1,1,0,0,0,0
34,11,0,0,64," United-States",0,1,0,1,0,0,0,0
28,4,0,2179,40," Puerto-Rico",0,1,1,0,0,0,0,1
41,14,0,1977,65," United-States",1,1,1,1,0,0,0,0
28,9,0,0,40," United-States",0,1,1,1,0,0,0,0
46,9,0,0,25," United-States",0,1,1,1,0,0,0,0
32,10,0,0,50," United-States",0,1,1,1,0,0,0,0
41,10,0,0,24," United-States",0,1,0,0,0,0,1,0
24,9,0,0,40," United-States",0,0,0,0,0,0,1,0
33,10,0,0,40," United-States",0,1,0,1,0,0,0,0
46,16,15024,0,60," United-States",1,1,1,1,0,0,0,0
31,10,0,0,40," United-States",0,1,1,1,0,0,0,0
35,8,0,0,50," United-States",1,1,1,1,0,0,0,0
52,2,0,0,40," Mexico",0,1,1,1,0,0,0,0
30,7,0,0,19," United-States",0,0,0,1,0,0,0,0
34,7,0,0,40," United-States",0,1,1,0,0,0,1,0
34,9,0,0,40," United-States",0,1,0,1,0,0,0,0
20,10,0,0,30," United-States",0,1,1,1,0,0,0,0
17,7,2176,0,18," United-States",0,0,1,1,0,0,0,0
32,13,0,0,40," United-States",1,1,0,1,0,0,0,0
29,9,0,0,40," United-States",0,1,1,1,0,0,0,0
33,6,0,0,35," United-States",0,0,0,1,0,0,0,0
25,9,0,0,60," United-States",0,1,1,1,0,0,0,0
36,14,0,1408,40," United-States",0,0,1,1,0,0,0,0
23,9,0,0,72," Dominican-Republic",0,0,1,1,0,0,0,0
63,9,0,0,40," United-States",1,1,1,1,0,0,0,0
47,14,0,0,40," United-States",0,1,1,1,0,0,0,0
40,13,2174,0,40," United-States",0,1,0,1,0,0,0,0
30,12,0,0,25," United-States",1,1,0,1,0,0,0,0
27,10,0,1980,40," Philippines",0,0,1,0,1,0,0,0
33,14,0,0,50," United-States",1,1,1,1,0,0,0,0
34,9,594,0,60," United-States",0,0,1,0,0,0,1,0
34,10,0,0,40," United-States",0,0,0,1,0,0,0,0
23,10,0,0,40," United-States",0,1,1,1,0,0,0,0
42,10,0,0,40," United-States",0,1,0,1,0,0,0,0
29,13,0,0,40," United-States",0,0,1,1,0,0,0,0
45,9,0,0,28," United-States",0,1,0,1,0,0,0,0
24,9,0,0,40," United-States",0,0,1,1,0,0,0,0
44,10,0,0,40," United-States",1,1,1,1,0,0,0,0
27,5,0,0,40," Mexico",0,0,1,1,0,0,0,0
20,10,0,0,35," United-States",0,0,1,1,0,0,0,0
44,9,0,0,40," United-States",0,0,0,0,0,0,1,0
51,9,0,0,40," United-States",0,1,1,0,0,1,0,0
20,9,0,0,40," United-States",0,1,1,1,0,0,0,0
19,9,0,0,40," United-States",0,0,0,0,0,0,1,0
45,10,0,0,55," United-States",1,1,1,1,0,0,0,0
60,9,0,0,40," United-States",1,1,1,1,0,0,0,0
44,9,0,0,40," United-States",1,1,0,1,0,0,0,0
40,11,0,0,40," United-States",1,1,1,0,1,0,0,0
30,9,0,0,40," United-States",0,1,0,1,0,0,0,0
38,10,0,0,50," United-States",0,1,1,0,0,0,1,0
23,9,0,0,60," United-States",0,1,1,1,0,0,0,0
44,12,0,0,40," United-States",0,0,1,1,0,0,0,0
54,9,0,0,40," United-States",0,1,1,0,0,0,1,0
32,13,0,0,50," United-States",0,1,1,1,0,0,0,0
50,2,0,0,40," United-States",0,1,1,1,0,0,0,0
24,13,0,0,20," United-States",0,0,0,1,0,0,0,0
37,9,0,0,60," United-States",0,1,0,1,0,0,0,0
52,9,0,0,40," United-States",0,1,1,1,0,0,0,0
38,10,0,0,40," United-States",0,1,1,1,0,0,0,0
49,14,0,1977,45," United-States",1,1,1,1,0,0,0,0
30,13,0,0,16," United-States",1,1,0,1,0,0,0,0
60,10,0,0,40," United-States",1,0,1,1,0,0,0,0
35,9,0,0,40," United-States",0,0,1,1,0,0,0,0
30,9,0,0,60," United-States",0,0,1,1,0,0,0,0
67,11,0,0,24," United-States",0,1,0,1,0,0,0,0
46,13,0,0,40," United-States",0,0,0,1,0,0,0,0
17,5,0,0,6," United-States",0,0,1,1,0,0,0,0
22,10,0,0,30," United-States",0,0,1,1,0,0,0,0
27,6,0,0,40," United-States",0,0,1,1,0,0,0,0
23,9,0,0,35," United-States",0,0,0,1,0,0,0,0
33,12,0,0,45," Portugal",0,1,1,1,0,0,0,0
43,10,0,0,20," United-States",0,1,1,1,0,0,0,0
28,13,0,0,20," United-States",0,0,1,1,0,0,0,0
41,9,0,0,40," United-States",0,1,0,1,0,0,0,0
25,10,0,0,20," United-States",0,1,0,0,0,0,1,0
59,9,0,0,45," United-States",0,1,1,1,0,0,0,0
45,13,0,0,40," United-States",0,1,0,1,0,0,0,0
38,13,15024,0,60," United-States",1,1,1,1,0,0,0,0
40,9,0,0,35," United-States",0,0,0,1,0,0,0,0
46,9,0,0,40," United-States",0,1,1,1,0,0,0,0
35,12,0,0,60," United-States",0,0,0,1,0,0,0,0
34,9,0,0,25," United-States",0,1,0,1,0,0,0,0
33,13,0,0,20," United-States",0,0,1,1,0,0,0,0
41,9,0,0,36," United-States",0,1,0,1,0,0,0,0
